"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:安徽:合肥市,百万人民币,223813.34,38836063527,197068.6772,0.9469177,-0.569837188,0.880504608,38770,605752.5,132341,13,,,,,,,,,,,,,,,,,,,,,,,,38770.00,49260.00,60740.00,69920.00,85790.00,111187.37,132341.00,190903.00,218087.00,374604.62,443593.45,528624.48,605752.50,,
企业存款:安徽:芜湖市,百万人民币,46508.69077,1712243788,41379.26761,0.753311269,-1.308810696,0.889710438,7810,112444.53,25439,13,,,,,,,,,,,,,,,,,,,,,,,,7810.00,10960.00,11820.00,12170.00,15250.00,20572.98,25439.00,38184.00,48733.00,93215.86,97148.64,110864.97,112444.53,,
企业存款:安徽:蚌埠市,百万人民币,23362.46231,376782756.8,19410.89274,1.285809133,0.525845996,0.830858172,6400,65724.22,13602,13,,,,,,,,,,,,,,,,,,,,,,,,6400.00,8340.00,9780.00,9420.00,10390.00,12113.64,13602.00,16903.00,21653.00,34729.63,39520.13,55136.39,65724.22,,
企业存款:安徽:淮南市,百万人民币,24566.43538,362900549.2,19049.9488,0.536089146,-1.545100237,0.775446193,4560,52418.13,17048.22,13,,,,,,,,,,,,,,,,,,,,,,,,4560.00,5060.00,7020.00,8520.00,10920.00,12581.05,17048.22,24481.29,29488.23,45672.95,51420.28,52418.13,50173.51,,
企业存款:安徽:马鞍山市,百万人民币,27647.60769,544525107.6,23335.06177,0.827601912,-1.180093747,0.844017393,4550,65392.94,16753,13,,,,,,,,,,,,,,,,,,,,,,,,4550.00,6900.00,9160.00,10350.00,11960.00,13947.92,16753.00,21415.00,24104.00,51102.37,60265.18,65392.94,63518.49,,
企业存款:安徽:淮北市,百万人民币,17632.91077,184610428.2,13587.14202,0.688338489,-1.351265509,0.77055582,3490,39492.27,11561,13,,,,,,,,,,,,,,,,,,,,,,,,3490.00,4410.00,5700.00,7910.00,8710.00,8852.53,11561.00,15362.00,18318.77,33533.17,34704.28,37183.82,39492.27,,
企业存款:安徽:铜陵市,百万人民币,14116.46,125610641.1,11207.61532,0.755347569,-1.236122247,0.793939509,2660,32309.79,8878.9,13,,,,,,,,,,,,,,,,,,,,,,,,2660.00,3590.00,4790.00,5610.00,6170.00,8878.90,8244.00,11529.42,13987.57,25560.07,29154.53,31029.70,32309.79,,
企业存款:安徽:安庆市,百万人民币,27310.58923,636983089.2,25238.52391,0.953894864,-0.832700957,0.9241296,5950,73774.42,13670,13,,,,,,,,,,,,,,,,,,,,,,,,5950.00,6590.00,7620.00,8020.00,9030.00,11846.19,13670.00,19263.00,24646.26,49490.00,58698.00,66439.79,73774.42,,
企业存款:安徽:黄山市,百万人民币,12182.91538,110565365.2,10515.00667,0.883174041,-1.169807361,0.863094451,3400,29775.62,6498,13,,,,,,,,,,,,,,,,,,,,,,,,3530.00,3400.00,3940.00,3950.00,4430.00,6001.21,6498.00,8775.00,10127.00,23307.81,26637.06,28006.20,29775.62,,
企业存款:安徽:滁州市,百万人民币,22625.14,493156535.7,22207.12804,0.774786171,-1.19320128,0.981524447,2690,63350,11434.5,14,,,,,,,,,,,,,,,,,,,,,,,,2690.00,3320.00,4110.00,4840.00,5910.00,7156.74,8817.00,14052.00,15009.00,38272.12,45267.82,51059.49,52897.79,63350.00,
企业存款:安徽:阜阳市,百万人民币,19241.93077,361989911.8,19026.03248,1.063264371,-0.520420854,0.988779801,3540,56299.49,9305,13,,,,,,,,,,,,,,,,,,,,,,,,3540.00,4230.00,4580.00,4710.00,7590.00,8561.15,9305.00,10361.00,15489.00,35031.00,41251.87,49196.59,56299.49,,
企业存款:安徽:宿州市,百万人民币,13760.81923,178899340,13375.32579,0.931271974,-0.815480127,0.971986156,1810,38802.19,7156,13,,,,,,,,,,,,,,,,,,,,,,,,1810.00,2660.00,3230.00,3510.00,4310.00,4946.32,7156.00,9790.00,13079.00,25943.88,29629.95,34023.31,38802.19,,
