"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:吉林:松原市,百万人民币,85462.3135,6731539220,82045.95797,0.5983152,-1.427901844,0.960025005,8171.01,213676.75,48231.62,20,,,,,,,,,,,,,,,,,,,8341.06,9214.70,,8171.01,11560.23,11738.62,11985.73,15061.75,20642.92,30976.84,41903.36,54559.88,81961.95,94554.86,121948.08,161933.06,195855.74,197593.88,209332.06,208233.79,213676.75,,
工业总产值:吉林:白城市,百万人民币,22789.737,611478927.6,24728.09996,1.031383361,-0.498748628,1.085054205,2752.21,73761.01,9295.75,20,,,,,,,,,,,,,,,,,,,3385.19,3343.91,,2752.21,3087.59,3191.34,3697.25,4602.97,5438.88,6367.71,8013.35,10578.15,14800.35,18902.42,25924.56,35366.82,46961.76,56727.43,62926.66,65965.18,73761.01,,
工业总产值:黑龙江:哈尔滨市,百万人民币,162117.9254,10651771180,103207.4182,0.329937171,-1.48030104,0.636619412,41861.23,323692.81,142414.29,20,,,,,,,,,,,,,,,,,,,50119.30,55222.88,,41861.23,50541.53,52761.95,61107.10,72150.89,88620.00,119745.62,133540.23,151288.35,182476.77,199061.35,230473.64,256413.87,250374.00,297060.00,322463.70,303383.29,323692.81,,
工业总产值:黑龙江:齐齐哈尔市,百万人民币,52086.77665,1365445019,36951.92849,0.351595213,-1.698793593,0.709430125,12746.33,107966.279,40145.695,20,,,,,,,,,,,,,,,,,,,15733.40,16480.86,,12746.33,13974.37,15126.12,16216.95,17648.87,23025.62,28507.03,34018.62,46272.77,59605.98,63021.78,83205.61,98637.99,89191.92,97690.00,98724.91,103940.13,107966.28,,
工业总产值:黑龙江:鸡西市,百万人民币,16900.2716,107466833.7,10366.62113,0.734258798,-0.726533482,0.613399677,6044.57,37042,13558.47,20,,,,,,,,,,,,,,,,,,,7970.37,8396.64,,6044.57,6359.12,6450.06,7148.71,7789.50,9387.65,11474.99,13194.55,13922.39,20738.29,20582.82,28893.86,35883.83,37042.00,32520.00,25044.68,20628.15,18533.25,,
工业总产值:黑龙江:鹤岗市,百万人民币,13233.578,102141164.9,10106.49122,0.945405827,0.007889913,0.763700582,3320.37,36562.17,11493.475,20,,,,,,,,,,,,,,,,,,,4251.04,4598.19,,3440.63,3320.37,3443.44,4134.27,3940.01,5835.95,9729.59,10325.90,12661.05,17130.46,21423.63,28441.94,36562.17,30691.00,22490.00,14228.58,14131.95,13891.39,,
工业总产值:黑龙江:双鸭山市,百万人民币,20904.1727,413210547.5,20327.58096,1.213774018,0.607276704,0.972417385,3183.41,68390,13019.615,20,,,,,,,,,,,,,,,,,,,4815.62,5340.31,,3183.41,3434.43,4087.64,3845.67,4768.86,5639.97,7400.93,10724.46,15314.77,22137.46,28688.21,36187.86,50737.90,63231.66,68390.00,29623.67,25150.42,25380.21,,
工业总产值:黑龙江:大庆市,百万人民币,245253.8328,16588163449,128795.0444,0.215230073,-1.175293643,0.525149976,66143.55,450624.107,255729.535,20,,,,,,,,,,,,,,,,,,,66143.55,75301.35,,83630.19,133877.19,121383.69,114626.55,142806.34,166855.20,228544.51,263407.06,274914.99,319649.62,248052.01,328796.01,420579.11,428034.32,448150.00,450624.11,305174.71,284526.15,,
工业总产值:黑龙江:伊春市,百万人民币,9402.709,30973468.18,5565.381225,0.876168029,-0.606678704,0.591891254,4114.13,20300,7503.38,20,,,,,,,,,,,,,,,,,,,5416.45,5451.73,,4114.13,4242.34,4268.36,4348.61,4177.14,5107.09,5798.88,6660.83,8345.93,11183.23,12289.40,19457.40,17631.32,17881.76,20300.00,12853.76,9583.94,8941.89,,
工业总产值:黑龙江:佳木斯市,百万人民币,24477.7218,477028711.6,21840.98696,0.886427901,-0.906926875,0.892280219,5711.38,65915.479,11953.14,20,,,,,,,,,,,,,,,,,,,8319.03,8984.55,,5711.38,6248.24,6623.16,7484.17,6442.31,7644.31,9035.18,11021.18,12885.10,17005.68,21481.42,31393.80,39342.16,50648.72,62350.00,65915.48,57952.83,53065.73,,
